유형,직업,호불호
ESFJ,역무원,
ENTJ,여성복 MD,
ESTJ,영업직,
INFP,영업직,
INFJ,연구직,
ESTP,교사,
ENFP,변호사,
INTJ,사무직,
ENTP,개발자,
INFP,공기업 사무직,
INTJ,승무원,호
INTJ,영업 관리직,
INFJ,공무원,
ENFP,엔지니어,
ENFJ,기획자,
INFP,인테리어 설계,
ENFJ,건축가,
ENFJ,건축가,
INFJ,엔지니어,
ENTJ,해외 영업직,
INTP,연구직,
INTJ,연구직,
ENFJ,연구 사무직,
ENFP,마케터,
ESTJ,영업직,
INFP,개발자,
ENFJ,승무원,
INFJ,공무원,
ISFP,공무원,
ESTJ,스타트업 경영지원,
ENTP,연구직,
ESTJ,설계,
ESFJ,하드웨어 개발,
ESTP,마케터,
ISFP,제약 영업직,
ISTJ,마케터,
ISTJ,공무원,
INFP,기관사,
INFP,개발자,
ENFP,영업본부,
ENFJ,개발자,
ESFP,사무직,불호
ESFJ,무역 사무직,
ENFP,기계직,
ISTP,엔지니어,
ENFJ,환경직,
INTJ,연구직,
ENTP,마케터,
ISTJ,데이터 분석가,
ENTP,회사원,불호
INTP,개발자,
INTJ,공무원,
ENTP,연구직,불호
ENTP,의류 영업직,불호
INTP,게임 아트,
ENFP,게임 그래픽,호
ESTP,설계,
ENTJ,IT,
ISTP,마케팅,
ISFP,사무직,
ESFJ,반도체 엔지니어,
ENFP,사업 개발,
ENTP,엔지니어,불호
ISTP,개발자,
ISTJ,영업직,
ESTJ,조종사,
ISTP,개발자,
ISTJ,영업직,불호
INFJ,게임 아트,
ENFP,호텔리어,
ESFP,은행원,
ENFP,엔지니어,
ESTJ,연구원,
ISTJ,데이터 애널리스트,
ENTJ,개발자,
ESTJ,전자 연구직,
INTJ,기계직,
ESTJ,인허가,
ENTJ,개발자,
ENTJ,승무원,
INFP,개발자,
ENFP,법률직,
ENFJ,교사,
ESTP,기획자,
ENFJ,바리스타,
ESTP,영업직,
ENFP,인사,
ENFJ,기획자,
ENFP,콘텐츠 마케터,
ISFP,기술직,
ENFP,승무원,
ENFP,기술직,
IXTJ,공무원,
ISTJ,엔지니어,
INTJ,UI 디자이너,
INTP,연구직,
ISTJ,인사,
ISFJ,엔지니어,
INTP,IT,
ENTP,영업직,
ESFP,신용보증,
ENTP,초등교사,
ENFJ,차량 정비,
INTP,잡부,
ENFJ,홍보관안내,
INFP,생산 기술직,불호
XNTJ,생산직,
INFP,UX 디자이너,
ENFP,PD,
ISFJ,번역,
ENFP,은행원,
INFP,영업직,
INFP,승무원,
INFJ,조종사,
INFP,디자인,
ENTP,이펙터,
ENTP,마케팅,
ENFP,은행원,
ENTP,게임 QA,
ENFJ,마케팅,
ESFP,공무원 민원응대,
ENTJ,승무원,
ISFP,엔지니어,
ESTP,프로그램 개발,
INTJ,기구 개발,
ENTP,네트워크 엔지니어,
ENFJ,기술직,
ENTJ,승무원,호
ENTJ,현장 기술직,
ENTP,전략 PM,
INFP,기획자,
INFP,금융 행정직,
ESFP,영업직,
ESFP,영상 디자이너,
ESFJ,전산직,
ISTJ,연구직,
ESFP,개발자,
ESTJ,기획자,
ISFJ,디자인,불호
ISFP,전산직,
INTP,영업직,
ESTP,조종사,
INTP,기획자,
ISTJ,조종사,
ENTP,기획자,
ESTP,법무,
ESFJ,개발자,
ENFP,승무원,
ESTP,품질,호
ESTJ,연구 개발,
ESTP,카지노딜러,
ENFJ,생산 기술직,
ENTP,간호사,
ISFP,영업직,
ENTP,연구 개발,
ISFJ,행정직,
ISFJ,기술직,
ENTJ,연구 개발,
ESTJ,마케팅,
INTP,마케터,
ISFX,해외 영업직,불호
ISFP,사무직,
INTP,CTO,
ESTP,승무원,
ESTJ,사무직,
INFJ,엔지니어,
ESFP,사무직,
ISFJ,밥선생,
ESFJ,교사,
ENFP,디자이너,
ENFJ,영업직,
ESFJ,고객응대,
ESTP,마케팅,
INFP,변리사,
ISTJ,전략 기획,
ENTJ,디자이너,
INFP,간호사,
ENFP,간호사,
ISTP,엔지니어,
ENFP,AE,
ESTJ,개발자,
ISTP,개발자,
ENTP,연구직,
ESFJ,개발자,
ISFJ,설계,
ISFJ,회계사,
INTP,작가,
ENFJ,영업,
INFP,은행원,
INFP,은행원,
INFP,은행원,
ENFP,은행원,
ENTP,은행원,
ESTJ,관리 사무직,불호
ISFJ,은행원,
ESFJ,에이전트,
INTJ,건축,
INTP,마케팅,
INFP,승무원,
ESTJ,개발자,
ENFJ,공무원,
ENTP,영양사,불호
ENFP,보험총무,
ESFP,디자이너,
ISFJ,스티커배달,
ENTP,엔지니어,
INTP,마케팅,불호
ESTJ,PM,
ENFP,은행원,
INFP,은행원,
ENTP,게임 기획,
ISFJ,은행원,
INTP,이펙터,
INXP,영업 관리직,
INFJ,큐레이터,
INFP,엔지니어,
INFP,홍보팀,
ESTP,조리사,
ENTP,제품 기획,
ENFP,승무원,
ISTJ,마케팅,
ENTJ,설계,
ESFJ,소방관,
ESFP,행정 사무직,불호
ISTJ,엑셀 노예,
ESFJ,승무원,
ISFJ,승무원,호
INFJ,게임 그래픽 디자이너,
ENTJ,UX 기획,
INFP,PD,
INTP,통역사,
ENFJ,통신 엔지니어,
INFJ,승무원,호
INTJ,엔지니어,
ESFJ,회계사,
ISTJ,개발자,
ISFJ,공무원,
ISTJ,영업직,
ISFJ,자재 및 현장 관리,
ENFJ,기획자,
ISTJ,건축,
ENTJ,개발자,
ISTJ,유지 보수,
ENFP,마케터,
ENFP,개발자,
ESFJ,승무원,불호
INFP,약사,불호
ISFJ,바리스타,
ESFP,승무원,
ESFJ,객실 승무원,
ESFJ,패션 MD,
INTP,행정직,불호
INFJ,연구직,
ENTP,상담,
ENFP,디자이너,호
ESFP,승무원,
INFJ,리테일,
ESFP,상품 기획,
INTP,개발자,
ENTJ,영업 관리,
INFP,조종사,
INTP,프로그래머,
ENFJ,소프트웨어 엔지니어,
ENTJ,기획자,
ISTJ,앱 개발,
ESTJ,사업 PM,
ENFP,IB,
INTP,생산 관리직,
ISTJ,시설 관리직,
ISTP,엔지니어,
ENFJ,광고 디자인,
ESFJ,공노비,
ESTJ,교사,
ISFJ,은행원,
INTJ,교수,
INTP,버스 설계,
ENTJ,엔지니어,
ENTP,컨설턴트,
ENFJ,전략 기획,
ESFP,공무원,
ENTP,조선소 기계 설계,
ESTP,개발자,
ENFJ,해외 영업직,
ENFP,인테리어 디자이너,
INFP,홍보,
INTJ,개발자,
ENFP,항공 엔지니어,
ENFJ,조선소 생산 관리자,
INFP,은행원,
ESFJ,기술직,
ESTJ,영양사,
INFP,영업직,
ENFP,공돌이,
ISTJ,IT 기획자,
INFP,디자이너,
ESTJ,은행원,
ENTP,교사,
INTJ,개발자,
ISTP,간호사,
INFJ,게임 개발,
ENTJ,건축 설계,
ENTJ,전략 기획,
ESTJ,재무,
ISTP,식품 MD,
ISFJ,승무원,
ISFJ,회계,
ISFP,디자이너,
ISFJ,은행원,
INFP,경영 기획,
ENTJ,대표 이사,
INTP,개발자,
ISFJ,게임 기획,
ENTJ,해외 사업,
ISTP,데이터 분석,
INTP,금융 IT 개발자,
INFP,해외 영업직,
ISXP,IT R&D,
ENFJ,UX 디자이너,
INTJ,공무원,
ISTJ,사업가,
XNFP,반도체 분석,
ISFP,바리스타,
ENTJ,은행원,
INFP,디자이너,호
ESTJ,기자,
ENTJ,연구원,
ENFJ,간호사,
INTP,개발자,
ESFJ,간호사,
INTJ,펀드 매니저,호
ISTJ,연구소,
ENTJ,게임 기획,
XNFP,은행원,
INFP,리조트 프런트,
INTP,해외 영업직,
ENFP,디자인,
ESFP,스타트업 MD 마케터,
ESFP,공항지상직,
ISFJ,항공사일반직,
ENTJ,간호사,
ISTJ,기술직,
INFJ,게임 개발,
ISTJ,그래픽 디자이너,
ENTP,회계,
ESFJ,개발자,호
ESTJ,공무원,
INXJ,개발자,
ENTJ,은행원,
ESTJ,연구원,
ISTP,승무원,
ISTP,렙사,
ESTJ,점장,
INFJ,공무원,
ISTP,개발자,
ESTJ,사무직,
ENTP,영업 마케팅,
INFJ,헤드헌터,
ESTJ,은행원,
ENTP,공공기관 행정직,
ENTJ,HR,
XNTP,개발자,호
ESFP,승무원,호
INFJ,승무원,
ESFP,HR,
ENFJ,PD,
ISTJ,R&D,
INTJ,개발자,
INTJ,마케터,
ENTJ,마케팅,
ENTP,설계,
ISFP,금융,
ENTJ,기획,
INFJ,디자이너,
ENTJ,마케팅,
ISTJ,분석,
ESTP,은행 창구직,불호
ISFJ,작전 참모,
INFJ,은행원,
INTP,회사원,불호
INFJ,승무원,
ESTJ,마케터,
ESFJ,공항 지상직,
INFP,회계,
INTJ,행정직 공무원,
ENTP,간호사,불호
ESTP,마케팅,불호
INFJ,MD,
ISTJ,안전 관리,
ENTP,MD,
INFP,매장 관리,
INTP,은행원,
ENTJ,마케터,
INTP,마케팅,
ESTJ,신차 품질,
ISTJ,개발자,
INTJ,공무팀,
ESFP,경영지원,불호
ESFP,개발자,
ESTP,교사,
ENFJ,마케터,
ISFP,행정직,
ESTJ,마케팅,
ENFP,객실 승무원,
ENXP,개발자,
ISTJ,공무원,
INTP,작가,
INFP,MD,
ISTJ,"영업
품질",
ISFP,개발자,
ISTJ,건축 설계,
ESFJ,기술직,
INTP,회계,
INFP,디자이너,
ENFP,전략팀,
ENFP,은행원,
INTP,회계법인 택스팀,
INTJ,개발자,
ESFJ,기획자,
INFP,유통관리,
INTP,비서,
ENTP,컨설팅,
ENFP,대학교 교직원,
ESFJ,마케팅,
ENTX,공무원,불호
ISFJ,개발자,
ISTJ,회사원,불호
ENFP,점포 관리,
ENFJ,바리스타,
ISTJ,공정 엔지니어,
ENTP,보험사 보상,
INTP,개발자,
ESFP,조종사,
ISFJ,실험,
ESTJ,MD,
INTP,개발자,
ENFP,마케팅,
ESTJ,컨설팅,
ISTP,개발자,
ISFJ,방송 PD,
ISTP,개발자,
ISTJ,마케팅,
ISFP,매표안내,
INFP,기획,
INTJ,전략,
INFP,개발자,
ISFP,디자인,
INTJ,상품 기획 MD,
ENFP,방송 PD,
ESTJ,투자 상품 영업,
INTP,생산 설비 엔지니어,
INFJ,공무원,
ISFP,공무원,
ESTJ,꼰대 전문가,
ENTP,리서치,
INTJ,특허팀,
ENFJ,세무,
ENFP,광고,
ESTJ,사업 개발직,
ENXP,법무,불호
ESFJ,은행원,호
ENTP,마케팅,
ISTP,개발자,
ENFP,해외 영업직,
INFP,총무,
ISTP,초등교사,불호
INFP,교사,
ENFP,승무원,호
ESFJ,행정직,
INFP,판매직,
ESTP,회계사,호
ENFJ,개발자,
INTJ,온라인 MD,
ENFJ,비서,불호
ENTP,연구 개발직,
ESFJ,상품 기획 개발직,
INTP,전산 공무원,
ENFP,개발자,불호
INTP,생산 관리,불호
INTJ,설계,
INTP,공무원,불호
ENTP,디자인,
ISFJ,건보공단 건강직,
ENFP,기획,
ISTP,연구 개발,
ENTJ,기획 컨설팅,
ENFP,교육 영업,
ENTJ,승무원,
ISTJ,회계사,
INFP,승무원,
INXP,연구 개발,
ENTP,"브랜드 컨설팅 전략
마케팅",
ESXJ,디자이너,
INFJ,사무직,
ESFJ,서비스직,
ENFJ,공무원,
INTJ,R&D,
INFP,리서치,
ESTJ,엔지니어,
ENTP,기획,
ISFJ,은행원,불호
ENFP,기획자,
ENTJ,광고 마케팅,
INFP,연구 개발,
ISTJ,사무직,
ESFJ,개발자,
INFP,개발자,
ENTJ,임상 개발,
ISTJ,대감집 하청업체 사노비,
ENFP,영업직,
XSTP,온라인 MD,
ESFJ,사노비,
ENTJ,개발자,
XSFX,개발자,
ENFP,회계,
ENTJ,에디터,
ENTP,기획,
ISTJ,사무직,
ENFJ,제조 기술 사무직,
INFJ,교사,
ISTP,영업,호
ENFP,개발자,
ISFJ,사무직,
ESFJ,교사,
ISTP,연구직,
ESTJ,엔지니어,
ESFP,제약 영업직,
ESTJ,승무원,
ESFP,그래픽 아티스트,
ESFP,사무직,
INFJ,프로그래머,
ESFJ,재경,
ENTP,소프트웨어 개발,
ISFJ,공장 관리자,
XNFP,신탁 회계,
INFJ,간호사,
ENFP,MD,
INFP,월루,
INFJ,PM,
INFP,공노비,
INFP,연구 개발,
INTP,공무원,불호
ISTP,대민 업무,
ESTJ,공노비,
INTP,디자이너,
INFP,헤드헌팅,
INFP,마케터,
ISXP,대면 업무,불호
ENFP,개발자,
INTP,잡부,
INTP,노가다,
ESTJ,병원 행정,
ESFJ,투자 심사역,
EXFJ,브랜드 매니저,
ENTJ,막내,
ISFJ,개발,
INTJ,개발자,
INFP,디자이너,
INTJ,백엔드 프로그래머,
ENTJ,검토,
ISFJ,구매,
ENFP,R&D,
ISFP,바리스타,불호
INFP,승무원,
ESTJ,내수 영업,
INTP,사무직,
INTJ,프로그래머,호
ISTP,회계사,
ISTP,공기업 기계직,
ESFP,개발자,
INFJ,공무원,
ISFP,인력 관리,불호
ISFP,영업 지원,
ISTP,개발자,호
ENTP,온라인 MD,
INFP,게임 기획,불호
ESTJ,전략 기획,
INTP,개발,
ESFJ,프로젝트 PM,
ISFJ,홍보,
INTP,연구원,
ESFP,UI/UX 디자이너,
ENFJ,디지털 서비스 기획,
INTP,엔지니어,
ISXP,엔지니어,
ENFP,잡부,
ISTP,서비스직,
ENTP,잡부,
ESTJ,사무직,
INTP,개발자,
ISTJ,승무원,
ENFP,SCM,
ENTP,연구원,
INFP,바리스타,
INTJ,게임 그래픽,
ENFJ,서비스직,
INTJ,영업직,
ESFP,유통사 MD,
ISTP,여행사 영업직,
INFJ,프로그래머,
ESTJ,회계사,
ISFP,기술직 공무원,
ENTJ,공기업,불호
ENFP,사무직,
ESTP,디자이너,
ISTP,공기업,
INFP,은행원,불호
INFP,노가다꾼,
ISFJ,행정직 공무원,
ENTP,소프트웨어 개발,
ENTP,행정직,
INTP,UI/UX 디자이너,
ENTP,행정직,
ENFP,F&B,
INTJ,연구원,
INTP,개발자,
INFJ,서비스직,
ISTJ,간호사,
INFJ,엔지니어,
INFJ,PM,
ENTJ,가전제품 판매,
ENFP,"신사업
기획",호
ISTJ,철도관제,
ENFP,영업직,
INFP,인테리어,
ENFJ,PM,
ISTJ,기획,
ISTP,아트,
ESTJ,잡부,
INFJ,역무원,
ESFJ,사무직,
ISTJ,회계팀 세무,
ENTP,해외 영업직,
INTP,행정직 공무원,불호
ISTJ,공무원,
ESTP,QA,
ENTJ,연구원,
ISTJ,연구원,
INFP,코딩,
ISFJ,승무원,
ISTP,엔지니어,
INTP,연구직 공무원,
ESFP,사회복지사,
ENFP,영업직,
INFJ,연구원,
ENFP,공무원,
XSTJ,R&D,
INFJ,IT,
INTP,회계사,
ENFP,공무원,
ESTJ,사무 역무원,
ENFJ,영업직,
ENTJ,역무원,불호
ISTJ,공무원,
ENTP,해외 영업직,
ENFJ,공기업,
ESTP,기술직,
ESTJ,생산직,
INTJ,행정직 공무원,
ESFP,교사,
ESTJ,사무직,
